artist_names,artist_url,artist_id,track_names,track_url,track_id,popularity
Kendrick Lamar,{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},2YZyLoL8N0Wb9xBt1NhZWg,HUMBLE.,{'spotify': 'https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS'},7KXjTSCq5nL1LoYtL7XAwS,82
Kendrick Lamar,{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},2YZyLoL8N0Wb9xBt1NhZWg,N95,{'spotify': 'https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t'},2FeBslNBMdR9V58uv6hd2t,61
Ama Lou,{'spotify': 'https://open.spotify.com/artist/2tAqnHDAgnGtjnlzyoa38L'},2tAqnHDAgnGtjnlzyoa38L,Same Old Ways,{'spotify': 'https://open.spotify.com/track/4kgKjHMIDWri9XHjyxSbpy'},4kgKjHMIDWri9XHjyxSbpy,56
Giveon,{'spotify': 'https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP'},4fxd5Ee7UefO4CUXgwJ7IP,Heartbreak Anniversary,{'spotify': 'https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp'},3FAJ6O0NOHQV8Mc5Ri6ENp,83
Justin Bieber,{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},1uNFoZAHBGtllmzznpCI3s,Peaches (feat. Daniel Caesar & Giveon),{'spotify': 'https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI'},4iJyoBOLtHqaGxP12qzhQI,86
Jon Batiste,{'spotify': 'https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU'},0eRbECAGCLLiTyVXPBRexU,WE ARE,{'spotify': 'https://open.spotify.com/track/1tjS37UYn7PibLKkMH9vjX'},1tjS37UYn7PibLKkMH9vjX,20
PSY,{'spotify': 'https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh'},2dd5mrQZvg6SmahdgVKDzh,forEVER (feat. TABLO),{'spotify': 'https://open.spotify.com/track/6YTdl0EKY8mOB1EGPIXLaU'},6YTdl0EKY8mOB1EGPIXLaU,23
PSY,{'spotify': 'https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh'},2dd5mrQZvg6SmahdgVKDzh,Happier (feat. Crush),{'spotify': 'https://open.spotify.com/track/6idH1Qz9jcXzKcZeNIa9uU'},6idH1Qz9jcXzKcZeNIa9uU,28
PSY,{'spotify': 'https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh'},2dd5mrQZvg6SmahdgVKDzh,Sleepless (feat. Heize),{'spotify': 'https://open.spotify.com/track/0ifztmwdgzbJe8RU9tXBFk'},0ifztmwdgzbJe8RU9tXBFk,27
PSY,{'spotify': 'https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh'},2dd5mrQZvg6SmahdgVKDzh,You Move Me (feat. SUNG SI KYUNG),{'spotify': 'https://open.spotify.com/track/2alRAEyM5GvxE8G94Lav4R'},2alRAEyM5GvxE8G94Lav4R,30
